CID,Status,CAmt,Location
2757,Under Review,4634,Pune
2758,Under Review,3773,NYC
2759,Under Review,3785,Lucknow
2760,Under Review,1506,Lucknow
2761,Approved,3193,Ayodhya
2762,Declined,3869,Delhi
2763,Approved,4339,Pune
2764,Under Review,3625,Ayodhya
2765,Declined,2684,Mumbai
2766,Approved,2626,Lucknow
2767,Declined,4592,Pune
2768,Under Review,3851,Mumbai
2769,Approved,3507,Pune
2770,Approved,2859,Mumbai
2771,Under Review,4532,Pune
2772,Declined,3621,Lucknow
2773,Declined,4751,Mumbai
2774,Under Review,4883,Mumbai
2775,Declined,4329,Pune
2776,Under Review,1623,Lucknow
2777,Under Review,2100,Pune
2778,Declined,2887,Ayodhya
2779,Declined,4164,Lucknow
2780,Under Review,1857,Pune
2781,Approved,3829,Lucknow
2782,Under Review,3278,Delhi
2783,Declined,2942,Pune
2784,Approved,3171,Pune
2785,Under Review,4670,Lucknow
2786,Declined,4474,Ayodhya
2787,Declined,2642,Mumbai
2788,Declined,2692,Ayodhya
2789,Under Review,1006,NYC
2790,Approved,4983,Lucknow
2791,Approved,2769,Ayodhya
2792,Under Review,4054,Mumbai
2793,Approved,4011,Lucknow
2794,Under Review,3545,Delhi
2795,Under Review,1527,Ayodhya
2796,Under Review,2942,Ayodhya
2797,Under Review,2893,Ayodhya
2798,Declined,3716,NYC
2799,Declined,3701,Mumbai
2800,Under Review,4040,Delhi
2801,Declined,4566,Delhi
2802,Approved,3599,Ayodhya
2803,Under Review,3537,Mumbai
2804,Under Review,4706,Lucknow
2805,Under Review,4546,Lucknow
2806,Approved,2817,Lucknow
2807,Approved,4011,Delhi
2808,Under Review,3333,NYC
2809,Under Review,2516,Pune
2810,Under Review,4026,Mumbai
2811,Under Review,2502,Mumbai
2812,Under Review,1876,Lucknow
2813,Approved,2272,Delhi
2814,Approved,4685,Ayodhya
2815,Approved,2394,Mumbai
2816,Under Review,1927,Pune
2817,Declined,1987,Mumbai
2818,Under Review,4213,Ayodhya
2819,Under Review,3067,Delhi
2820,Approved,1055,Delhi
2821,Under Review,4068,Pune
2822,Declined,1471,Pune
2823,Under Review,4044,Ayodhya
2824,Under Review,2996,Pune
2825,Approved,4266,Mumbai
2826,Declined,3478,Ayodhya
2827,Declined,3541,Delhi
2828,Approved,2109,Ayodhya
2829,Under Review,3280,Ayodhya
2830,Declined,2735,Pune
2831,Approved,3352,Lucknow
2832,Approved,4892,Pune
2833,Declined,2099,Lucknow
2834,Approved,4252,Pune
2835,Approved,3713,NYC
2836,Under Review,3957,Pune
2837,Declined,2089,Lucknow
2838,Under Review,4293,Lucknow
2839,Under Review,2464,Ayodhya
2840,Under Review,3273,Pune
2841,Declined,4782,Pune
2842,Under Review,3119,NYC
2843,Approved,2624,Lucknow
2844,Declined,4907,Ayodhya
2845,Under Review,2613,Pune
2846,Under Review,4895,NYC
2847,Approved,1252,Ayodhya
2848,Under Review,2059,Mumbai
2849,Declined,2408,Pune
2850,Declined,4512,Pune
2851,Declined,2657,Pune
2852,Under Review,4890,Ayodhya
2853,Approved,4553,Mumbai
2854,Under Review,3462,Mumbai
2855,Declined,3076,Pune
2856,Declined,1308,Pune
2857,Under Review,3906,Pune
2858,Declined,3237,Delhi
2859,Under Review,2825,NYC
2860,Declined,2188,Ayodhya
2861,Under Review,4543,Ayodhya
2862,Under Review,3040,Pune
2863,Declined,4423,NYC
2864,Under Review,1475,NYC
2865,Approved,2938,Pune
2866,Under Review,1270,Delhi
2867,Approved,4472,Ayodhya
2868,Under Review,1907,NYC
2869,Approved,2641,Ayodhya
2870,Approved,1037,Mumbai
2871,Approved,3500,Lucknow
2872,Declined,4489,Pune
2873,Declined,3158,NYC
2874,Under Review,3359,Lucknow
2875,Approved,4131,Lucknow
2876,Approved,1156,Delhi
2877,Under Review,4030,Delhi
2878,Approved,2782,Lucknow
2879,Under Review,2947,Lucknow
2880,Approved,2337,Ayodhya
2881,Approved,2134,Lucknow
2882,Under Review,3918,Lucknow
2883,Approved,1862,NYC
2884,Approved,1029,Lucknow
2885,Approved,1453,Pune
2886,Declined,4789,Pune
2887,Under Review,2132,Mumbai
2888,Declined,3006,Mumbai
2889,Approved,4957,Pune
2890,Under Review,4600,Mumbai
2891,Approved,3228,Ayodhya
2892,Approved,2574,Lucknow
2893,Approved,2566,Ayodhya
2894,Declined,3269,Ayodhya
2895,Under Review,2101,Ayodhya
2896,Approved,4717,Delhi
2897,Under Review,4171,Delhi
2898,Under Review,2813,Mumbai
2899,Approved,4901,Pune
2900,Approved,3718,Mumbai
2901,Declined,2928,Pune
2902,Approved,1853,Mumbai
2903,Declined,1060,Delhi
2904,Declined,4042,Delhi
2905,Under Review,2502,NYC
2906,Approved,2103,Pune
2907,Declined,3656,Mumbai
2908,Declined,3144,NYC
2909,Declined,3619,Ayodhya
2910,Declined,1207,Mumbai
2911,Approved,3251,Pune
2912,Under Review,2402,Ayodhya
2913,Under Review,2720,NYC
2914,Under Review,3739,Mumbai
2915,Approved,1136,Lucknow
2916,Under Review,4476,Ayodhya
2917,Declined,2231,NYC
2918,Under Review,4838,Mumbai
2919,Declined,3320,Mumbai
2920,Approved,2836,Pune
2921,Under Review,2269,Delhi
2922,Under Review,3891,Pune
2923,Declined,3952,Lucknow
2924,Declined,1919,Delhi
2925,Under Review,1656,Lucknow
2926,Under Review,2579,Ayodhya
2927,Declined,2640,Lucknow
2928,Declined,3026,Lucknow
2929,Approved,1676,Ayodhya
2930,Under Review,1440,NYC
2931,Approved,2238,Mumbai
2932,Declined,1309,NYC
2933,Under Review,2640,Mumbai
2934,Under Review,3026,Mumbai
2935,Under Review,2386,Lucknow
2936,Approved,1715,Pune
2937,Under Review,1600,Delhi
2938,Under Review,4157,Delhi
2939,Under Review,3170,Delhi
2940,Declined,1252,Ayodhya
2941,Under Review,2508,Ayodhya
2942,Approved,1695,Lucknow
2943,Declined,3150,Lucknow
2944,Approved,3638,Lucknow
2945,Under Review,3686,Pune
2946,Approved,4818,Lucknow
2947,Declined,1980,Delhi
2948,Approved,3628,Pune
2949,Under Review,1979,Ayodhya
2950,Declined,4421,Delhi
2951,Under Review,4425,Lucknow
2952,Under Review,3257,NYC
2953,Under Review,3950,Lucknow
2954,Under Review,4884,NYC
2955,Under Review,4273,NYC
2956,Under Review,4895,NYC
2957,Under Review,3015,Mumbai
2958,Approved,2620,Delhi
2959,Under Review,1072,Pune
2960,Approved,1672,Mumbai
2961,Approved,2010,Ayodhya
2962,Under Review,4936,Delhi
2963,Under Review,3917,Lucknow
2964,Under Review,2731,Pune
2965,Declined,2292,Ayodhya
2966,Approved,1262,NYC
2967,Declined,3684,Lucknow
2968,Approved,4191,Pune
2969,Under Review,3083,Ayodhya
2970,Approved,1395,Delhi
2971,Declined,3938,Delhi
2972,Under Review,2940,Delhi
2973,Approved,4036,Mumbai
2974,Under Review,2727,NYC
2975,Declined,3823,Delhi
2976,Declined,3818,NYC
2977,Approved,4497,Pune
2978,Under Review,1003,Delhi
2979,Under Review,4453,Lucknow
2980,Under Review,1828,Delhi
2981,Declined,3998,Lucknow
2982,Under Review,4167,Mumbai
2983,Under Review,3627,Ayodhya
2984,Approved,4408,Mumbai
2985,Under Review,1732,Delhi
2986,Declined,3949,Ayodhya
2987,Approved,1113,Mumbai
2988,Approved,2457,Ayodhya
2989,Approved,1056,Pune
2990,Approved,1199,Pune
2991,Declined,3132,Mumbai
2992,Approved,4539,Ayodhya
2993,Approved,3226,Pune
2994,Approved,1198,Ayodhya
2995,Declined,1554,Pune
2996,Declined,3679,Lucknow
2997,Declined,2525,Ayodhya
2998,Declined,4197,Delhi
2999,Declined,4961,Mumbai
3000,Declined,2590,Lucknow
3001,Declined,4066,Pune
3002,Declined,2651,Ayodhya
3003,Approved,1726,Delhi
3004,Declined,1406,Ayodhya
3005,Approved,4230,Ayodhya
3006,Under Review,4391,Delhi
3007,Approved,4198,Delhi
3008,Under Review,1690,Lucknow
3009,Declined,1832,Pune
3010,Approved,1389,Ayodhya
3011,Under Review,2267,Delhi
3012,Declined,2016,Ayodhya
3013,Declined,2580,Mumbai
3014,Declined,2632,Mumbai
3015,Approved,1201,Mumbai
3016,Approved,1023,NYC
3017,Declined,4196,Pune
3018,Approved,3117,Lucknow
3019,Approved,3917,NYC
3020,Approved,2488,Pune
3021,Declined,2846,Pune
3022,Under Review,3923,Pune
3023,Approved,1928,NYC
3024,Approved,2034,Delhi
3025,Declined,3758,Lucknow
3026,Approved,1468,Lucknow
3027,Approved,1898,Delhi
3028,Declined,2823,Mumbai
3029,Approved,1398,Pune
3030,Declined,3281,Delhi
3031,Approved,4822,Delhi
3032,Approved,2638,NYC
3033,Approved,3232,Pune
3034,Under Review,4137,Pune
3035,Approved,2059,NYC
3036,Approved,2584,NYC
3037,Declined,3546,Delhi
3038,Declined,4755,Pune
3039,Under Review,3652,NYC
3040,Under Review,3553,Ayodhya
3041,Approved,3185,Ayodhya
3042,Under Review,1250,Mumbai
3043,Declined,4028,Mumbai
3044,Declined,2824,NYC
3045,Approved,1452,Delhi
3046,Declined,1125,NYC
3047,Declined,4573,Pune
3048,Approved,4869,NYC
3049,Approved,2765,Delhi
3050,Declined,2922,Delhi
3051,Declined,3673,Mumbai
3052,Approved,4845,Ayodhya
3053,Under Review,4056,Mumbai
3054,Under Review,1267,NYC
3055,Under Review,3499,Pune
3056,Declined,2543,Mumbai
3057,Under Review,2186,NYC
3058,Declined,1590,Mumbai
3059,Under Review,1141,Pune
3060,Approved,1663,Mumbai
3061,Approved,1686,Ayodhya
3062,Under Review,4288,Pune
3063,Declined,2486,NYC
3064,Declined,2882,Lucknow
3065,Declined,1025,Pune
3066,Declined,2868,Ayodhya
3067,Approved,4074,Delhi
3068,Approved,4005,Pune
3069,Approved,4964,Lucknow
3070,Approved,2619,Lucknow
3071,Approved,2943,Lucknow
3072,Declined,1245,Lucknow
3073,Under Review,2729,Lucknow
3074,Approved,1352,NYC
3075,Approved,2104,Pune
3076,Declined,2287,Lucknow
3077,Approved,1841,Mumbai
3078,Declined,4830,Lucknow
3079,Declined,2945,Lucknow
3080,Approved,3998,Lucknow
3081,Under Review,4010,Pune
3082,Declined,2475,Pune
3083,Under Review,4103,Ayodhya
3084,Under Review,2226,Ayodhya
3085,Under Review,1928,Mumbai
3086,Declined,3653,Mumbai
3087,Under Review,3072,Ayodhya
3088,Under Review,2374,NYC
3089,Under Review,1930,Lucknow
3090,Under Review,2421,Ayodhya
3091,Approved,3603,NYC
3092,Declined,4541,NYC
3093,Declined,2620,Lucknow
3094,Declined,1319,Mumbai
3095,Approved,1969,NYC
3096,Declined,3777,Delhi
3097,Declined,3979,Lucknow
3098,Approved,4305,NYC
3099,Declined,2476,Pune
3100,Declined,4319,Ayodhya
3101,Under Review,4988,NYC
3102,Approved,2971,Mumbai
3103,Under Review,2340,NYC
3104,Under Review,4679,Delhi
3105,Declined,1856,Ayodhya
3106,Declined,2007,Mumbai
3107,Declined,3709,Mumbai
3108,Approved,2178,NYC
3109,Under Review,2021,Lucknow
3110,Declined,1146,Delhi
3111,Under Review,4173,Lucknow
3112,Declined,4167,NYC
3113,Declined,1943,Ayodhya
3114,Declined,4223,Mumbai
3115,Declined,4206,Ayodhya
3116,Under Review,3072,Delhi
3117,Approved,2141,Delhi
3118,Declined,4256,Lucknow
3119,Declined,4477,Lucknow
3120,Approved,4328,NYC
3121,Approved,4623,Pune
3122,Approved,2314,Lucknow
3123,Declined,2372,NYC
3124,Under Review,4382,Delhi
3125,Under Review,4228,Pune
3126,Under Review,1155,Delhi
3127,Declined,3353,Lucknow
3128,Under Review,3035,Mumbai
3129,Approved,1513,Pune
3130,Declined,1037,Pune
3131,Approved,1898,NYC
3132,Declined,2381,Mumbai
3133,Under Review,1805,Delhi
3134,Under Review,1070,Delhi
3135,Approved,4509,Pune
3136,Declined,1308,Delhi
3137,Approved,1819,Delhi
3138,Approved,3015,Delhi
3139,Under Review,1310,NYC
3140,Approved,4935,NYC
3141,Declined,3477,NYC
3142,Under Review,2399,Delhi
3143,Approved,3313,Mumbai
3144,Declined,4144,Delhi
3145,Under Review,3978,Mumbai
3146,Declined,4576,NYC
3147,Approved,4738,Delhi
3148,Declined,2840,NYC
3149,Approved,4521,Pune
3150,Declined,3585,Delhi
3151,Under Review,4500,Delhi
3152,Under Review,4532,Pune
3153,Declined,4481,NYC
3154,Declined,2439,Pune
3155,Declined,3058,Mumbai
3156,Declined,3060,Lucknow
3157,Under Review,1404,NYC
3158,Under Review,1166,Lucknow
3159,Approved,3847,Delhi
3160,Under Review,3476,Mumbai
3161,Declined,3167,Pune
3162,Approved,4795,Lucknow
3163,Declined,2074,Mumbai
3164,Declined,4746,Mumbai
3165,Declined,3054,Mumbai
3166,Under Review,3329,Pune
3167,Under Review,3064,Lucknow
3168,Declined,3998,Lucknow
3169,Under Review,1422,Lucknow
3170,Declined,1405,Lucknow
3171,Under Review,4652,Delhi
3172,Under Review,2749,Ayodhya
3173,Approved,2622,Delhi
3174,Approved,3584,Mumbai
3175,Approved,3842,Pune
3176,Approved,4244,Ayodhya
3177,Declined,1763,Pune
3178,Under Review,1006,Mumbai
3179,Approved,1095,Lucknow
3180,Under Review,3172,Ayodhya
3181,Under Review,4068,Mumbai
3182,Declined,1664,NYC
3183,Declined,4912,Ayodhya
3184,Approved,3766,Delhi
3185,Under Review,1849,Ayodhya
3186,Approved,4020,Pune
3187,Under Review,3800,Mumbai
3188,Approved,4222,Lucknow
3189,Declined,2319,NYC
3190,Declined,4087,Ayodhya
3191,Declined,1654,NYC
3192,Approved,1603,Mumbai
3193,Approved,2111,Lucknow
3194,Declined,4516,Mumbai
3195,Approved,1328,Mumbai
3196,Declined,2326,Pune
3197,Approved,2902,Pune
3198,Approved,3550,NYC
3199,Under Review,3193,Ayodhya
3200,Approved,1225,NYC
3201,Declined,2961,Mumbai
3202,Declined,2014,Ayodhya
3203,Approved,1509,Ayodhya
3204,Under Review,4295,Ayodhya
3205,Declined,2586,Lucknow
3206,Declined,3035,Lucknow
3207,Under Review,3315,Lucknow
3208,Approved,2169,Lucknow
3209,Declined,2702,Ayodhya
3210,Under Review,2959,Pune
3211,Under Review,4128,Delhi
3212,Under Review,4348,Delhi
3213,Approved,1425,Ayodhya
3214,Approved,2889,Ayodhya
3215,Approved,1506,Lucknow
3216,Under Review,2015,Ayodhya
3217,Under Review,1209,NYC
3218,Under Review,3103,Delhi
3219,Under Review,3413,Ayodhya
3220,Declined,4296,Lucknow
3221,Approved,3496,Pune
3222,Declined,3712,Ayodhya
3223,Under Review,4860,Lucknow
3224,Approved,1284,Ayodhya
3225,Under Review,1528,Ayodhya
3226,Under Review,2403,Pune
3227,Under Review,2599,Delhi
3228,Declined,3735,NYC
3229,Declined,1753,Delhi
3230,Approved,4178,Mumbai
3231,Approved,3177,Pune
3232,Declined,2132,Lucknow
3233,Declined,2149,Delhi
3234,Declined,2308,Mumbai
3235,Approved,4462,Lucknow
3236,Approved,1894,NYC
3237,Declined,4015,Ayodhya
3238,Under Review,3245,Delhi
3239,Approved,3388,Ayodhya
3240,Approved,1158,Delhi
3241,Under Review,4817,Delhi
3242,Approved,3211,Pune
3243,Under Review,2913,Lucknow
3244,Declined,2287,Ayodhya
3245,Declined,4242,Ayodhya
3246,Declined,3454,Ayodhya
3247,Approved,3117,NYC
3248,Approved,4432,Pune
3249,Declined,2889,Ayodhya
3250,Declined,1042,Delhi
3251,Approved,4981,Ayodhya
3252,Under Review,3892,Pune
3253,Under Review,3393,NYC
3254,Declined,2650,Mumbai
3255,Approved,1450,NYC
3256,Declined,1497,Lucknow
3257,Declined,3299,NYC
3258,Under Review,2703,Lucknow
3259,Declined,1506,NYC
3260,Under Review,1406,Ayodhya
3261,Under Review,2216,Ayodhya
3262,Under Review,3075,Lucknow
3263,Approved,1576,NYC
3264,Under Review,1477,Lucknow
3265,Under Review,4784,Lucknow
3266,Declined,4040,Mumbai
3267,Declined,3112,Mumbai
3268,Approved,4198,Lucknow
3269,Under Review,2165,Ayodhya
3270,Under Review,3711,Delhi
3271,Declined,2272,Ayodhya
3272,Under Review,2943,Mumbai
3273,Declined,3504,Mumbai
3274,Declined,3008,Mumbai
3275,Declined,1259,NYC
3276,Under Review,3208,NYC
3277,Under Review,4896,Lucknow
3278,Approved,3433,Delhi
3279,Approved,3375,Delhi
3280,Declined,2635,NYC
3281,Approved,3613,Lucknow
3282,Declined,1403,NYC
3283,Under Review,2746,NYC
3284,Approved,4766,Pune
3285,Declined,4198,Lucknow
3286,Approved,3889,NYC
3287,Under Review,2217,Mumbai
3288,Approved,3096,Delhi
3289,Approved,2658,Pune
3290,Declined,3640,NYC
3291,Approved,4318,Ayodhya
3292,Under Review,3835,Delhi
3293,Under Review,3318,Delhi
3294,Approved,2859,Lucknow
3295,Under Review,1813,Ayodhya
3296,Approved,1063,Lucknow
3297,Under Review,4603,Delhi
3298,Declined,1288,Lucknow
3299,Declined,4907,Mumbai
3300,Approved,2939,Delhi
3301,Declined,1170,Ayodhya
3302,Approved,3233,NYC
3303,Under Review,2827,NYC
3304,Approved,2803,Delhi
3305,Approved,2031,Delhi
3306,Declined,3768,Pune
3307,Under Review,1229,NYC
3308,Under Review,3671,Ayodhya
3309,Approved,4900,Lucknow
3310,Declined,2616,Mumbai
3311,Declined,3923,Pune
3312,Under Review,2146,Pune
3313,Under Review,2097,Lucknow
3314,Approved,1753,Ayodhya
3315,Approved,2569,Pune
3316,Declined,1653,Mumbai
3317,Declined,3312,Pune
3318,Under Review,3539,Ayodhya
3319,Under Review,3844,Pune
3320,Approved,1126,Pune
3321,Under Review,2312,Delhi
3322,Declined,4902,Ayodhya
3323,Declined,4744,Pune
3324,Under Review,1710,Delhi
3325,Declined,2367,Pune
3326,Approved,2303,Lucknow
3327,Under Review,1789,Lucknow
3328,Declined,3788,Lucknow
3329,Under Review,3386,Pune
3330,Under Review,2492,NYC
3331,Under Review,2354,NYC
3332,Approved,4299,NYC
3333,Approved,1464,Pune
3334,Under Review,2503,Pune
3335,Declined,3955,Pune
3336,Under Review,3477,NYC
3337,Under Review,3084,Delhi
3338,Approved,3202,Delhi
3339,Under Review,2953,Ayodhya
3340,Under Review,3818,Ayodhya
3341,Under Review,4667,Ayodhya
3342,Declined,1420,Ayodhya
3343,Declined,2480,Pune
3344,Declined,4518,Ayodhya
3345,Approved,1261,Lucknow
3346,Approved,2212,Delhi
3347,Approved,3663,Ayodhya
3348,Approved,2605,Mumbai
3349,Declined,1497,Mumbai
3350,Approved,1582,Mumbai
3351,Declined,4413,NYC
3352,Approved,1058,NYC
3353,Declined,4405,NYC
3354,Under Review,2874,Delhi
3355,Declined,1692,NYC
3356,Declined,4796,NYC
3357,Under Review,3050,Ayodhya
3358,Under Review,2024,Ayodhya
3359,Under Review,2575,Delhi
3360,Under Review,4054,NYC
3361,Declined,4754,Lucknow
3362,Approved,2815,Mumbai
3363,Approved,3396,Delhi
3364,Declined,1905,Pune
3365,Declined,3344,NYC
3366,Approved,3905,NYC
3367,Approved,4039,NYC
3368,Approved,4175,Lucknow
3369,Under Review,4836,Lucknow
3370,Under Review,1238,Mumbai
3371,Under Review,2065,Delhi
3372,Under Review,4682,Mumbai
3373,Under Review,1582,NYC
3374,Under Review,3828,NYC
3375,Approved,4442,NYC
3376,Declined,2794,NYC
3377,Under Review,3672,Pune
3378,Approved,1533,NYC
3379,Declined,3424,Lucknow
3380,Declined,4317,Mumbai
3381,Declined,4174,Ayodhya
3382,Under Review,2656,Ayodhya
3383,Approved,4723,Mumbai
3384,Under Review,1559,Pune
3385,Approved,1555,NYC
3386,Under Review,2357,Delhi
3387,Under Review,1111,Ayodhya
3388,Under Review,2451,Lucknow
3389,Approved,4139,NYC
3390,Declined,2871,Lucknow
3391,Approved,3921,NYC
3392,Approved,3848,Pune
3393,Approved,3160,Mumbai
3394,Approved,2602,Pune
3395,Approved,2758,NYC
3396,Under Review,2589,Ayodhya
3397,Approved,4890,Ayodhya
3398,Approved,1443,Ayodhya
3399,Approved,3598,Mumbai
3400,Approved,2590,NYC
3401,Under Review,4349,NYC
3402,Under Review,3095,Pune
3403,Approved,4689,Lucknow
3404,Approved,1042,Delhi
3405,Approved,4791,NYC
3406,Declined,3767,Mumbai
3407,Declined,3751,Lucknow
3408,Approved,1672,Mumbai
3409,Approved,4641,NYC
3410,Under Review,1381,Delhi
3411,Declined,4407,Lucknow
3412,Declined,1283,NYC
3413,Declined,2138,Delhi
3414,Declined,1416,NYC
3415,Approved,1752,NYC
3416,Approved,1877,Lucknow
3417,Declined,1547,NYC
3418,Approved,4369,Pune
3419,Declined,2984,Pune
3420,Declined,2771,Pune
3421,Declined,1901,NYC
3422,Approved,4441,Mumbai
3423,Declined,3497,Mumbai
3424,Declined,4740,Lucknow
3425,Approved,1197,Ayodhya
3426,Under Review,1179,Pune
3427,Under Review,1411,Lucknow
3428,Declined,1601,Mumbai
3429,Approved,2515,Ayodhya
3430,Under Review,2618,Lucknow
3431,Declined,2834,Delhi
3432,Under Review,2100,Lucknow
3433,Under Review,1265,NYC
3434,Approved,4441,Mumbai
3435,Declined,2720,Mumbai
3436,Under Review,3519,Ayodhya
3437,Approved,1962,Mumbai
3438,Approved,4616,NYC
3439,Under Review,2209,Mumbai
3440,Declined,2798,Pune
3441,Under Review,1627,Delhi
3442,Approved,2576,Pune
3443,Under Review,2062,Mumbai
3444,Under Review,1531,NYC
3445,Declined,1798,Lucknow
3446,Declined,4371,NYC
3447,Under Review,1319,Pune
3448,Under Review,4861,Mumbai
3449,Declined,2276,Mumbai
3450,Declined,3580,Pune
3451,Approved,3854,Delhi
3452,Declined,3470,Mumbai
3453,Declined,4337,Pune
3454,Declined,2065,Lucknow
3455,Declined,2511,Mumbai
3456,Declined,4616,Pune
3457,Declined,4534,Ayodhya
3458,Under Review,4273,Mumbai
3459,Declined,1764,NYC
3460,Under Review,1647,NYC
3461,Approved,1733,Mumbai
3462,Declined,2099,Mumbai
3463,Under Review,3759,Ayodhya
3464,Declined,3453,Delhi
3465,Under Review,3118,Mumbai
3466,Under Review,4272,Delhi
3467,Approved,4434,NYC
3468,Under Review,3995,Delhi
3469,Under Review,3385,Delhi
3470,Declined,3103,Ayodhya
3471,Declined,1642,Ayodhya
3472,Under Review,4224,NYC
3473,Declined,4846,NYC
3474,Approved,2427,Delhi
3475,Declined,4730,Delhi
3476,Under Review,4671,Lucknow
3477,Approved,1162,Delhi
3478,Declined,1596,NYC
3479,Approved,3170,Lucknow
3480,Under Review,1269,NYC
3481,Approved,3804,Delhi
3482,Under Review,1848,Lucknow
3483,Approved,1977,Ayodhya
3484,Approved,3031,Ayodhya
3485,Declined,4374,Mumbai
3486,Under Review,3025,Mumbai
3487,Declined,3050,Mumbai
3488,Under Review,2206,Delhi
3489,Approved,1010,Ayodhya
3490,Under Review,2948,Mumbai
3491,Under Review,3604,NYC
3492,Under Review,4401,Ayodhya
3493,Declined,4026,Ayodhya
3494,Declined,3005,Ayodhya
3495,Declined,2989,Delhi
3496,Under Review,2175,Delhi
3497,Under Review,2648,Pune
3498,Approved,4484,Ayodhya
3499,Declined,4154,Lucknow
3500,Declined,3276,Lucknow
3501,Under Review,1917,NYC
3502,Under Review,3714,Pune
3503,Approved,3325,Lucknow
3504,Approved,3717,Mumbai
3505,Declined,1712,Ayodhya
3506,Under Review,1672,Delhi
3507,Under Review,2749,Lucknow
3508,Declined,2950,Ayodhya
3509,Approved,4462,Ayodhya
3510,Declined,3207,Pune
3511,Declined,3807,Lucknow
3512,Declined,3127,Delhi
3513,Under Review,1040,Delhi
3514,Approved,4315,Mumbai
3515,Under Review,1474,Mumbai
3516,Approved,2011,NYC
3517,Approved,2741,Mumbai
3518,Approved,3318,Lucknow
3519,Under Review,1770,Mumbai
3520,Declined,3855,NYC
3521,Approved,3311,Ayodhya
3522,Declined,4623,NYC
3523,Declined,2813,Delhi
3524,Declined,1123,Pune
3525,Declined,4465,Ayodhya
3526,Under Review,2996,Delhi
3527,Declined,4091,Lucknow
3528,Approved,3821,NYC
3529,Under Review,1758,Lucknow
3530,Under Review,1863,Mumbai
3531,Approved,4338,Pune
3532,Under Review,2708,Delhi
3533,Declined,2197,Ayodhya
3534,Under Review,3020,Pune
3535,Under Review,2921,Delhi
3536,Under Review,1563,Pune
3537,Under Review,3461,Mumbai
3538,Declined,4007,Lucknow
3539,Under Review,3744,Ayodhya
3540,Declined,1083,Ayodhya
3541,Declined,3632,Delhi
3542,Under Review,4324,Pune
3543,Declined,4136,Mumbai
3544,Under Review,2977,Ayodhya
3545,Declined,2411,NYC
3546,Under Review,4190,Delhi
3547,Under Review,3793,Mumbai
3548,Under Review,2455,NYC
3549,Declined,2544,NYC
3550,Approved,2702,NYC
3551,Declined,1644,Ayodhya
3552,Under Review,3297,Ayodhya
3553,Declined,1418,Lucknow
3554,Declined,2937,Mumbai
3555,Declined,2340,Pune
3556,Declined,2244,Ayodhya
3557,Under Review,2910,Delhi
3558,Declined,3831,Delhi
3559,Under Review,3518,NYC
3560,Declined,3007,Mumbai
3561,Approved,3331,Pune
3562,Approved,2777,NYC
3563,Declined,4762,Delhi
3564,Under Review,4503,Mumbai
3565,Approved,2641,Ayodhya
3566,Approved,1270,Pune
3567,Under Review,2893,NYC
3568,Approved,4290,NYC
3569,Approved,2101,Mumbai
3570,Declined,1852,Ayodhya
3571,Approved,3502,NYC
3572,Approved,1104,Mumbai
3573,Declined,2384,Delhi
3574,Approved,3074,Lucknow
3575,Under Review,2868,Delhi
3576,Approved,1081,NYC
3577,Under Review,3623,Pune
3578,Under Review,2558,Pune
3579,Declined,2737,Lucknow
3580,Approved,2864,Pune
3581,Under Review,2815,NYC
3582,Declined,4989,Lucknow
3583,Under Review,2093,Mumbai
3584,Under Review,3519,Delhi
3585,Declined,4580,NYC
3586,Declined,4983,Delhi
3587,Declined,1513,Lucknow
3588,Under Review,3918,Mumbai
3589,Under Review,4921,Pune
3590,Under Review,2007,Ayodhya
3591,Approved,4897,NYC
3592,Approved,1778,Ayodhya
3593,Under Review,4473,Delhi
3594,Under Review,4555,Delhi
3595,Declined,2856,NYC
3596,Approved,3499,Lucknow
3597,Declined,1783,Ayodhya
3598,Approved,2155,Lucknow
3599,Declined,2142,Delhi
3600,Under Review,4624,Lucknow
3601,Under Review,3645,Ayodhya
3602,Declined,1005,NYC
3603,Declined,4562,Ayodhya
3604,Under Review,2203,Ayodhya
3605,Declined,3307,Lucknow
3606,Under Review,3846,Lucknow
3607,Under Review,2969,Delhi
3608,Under Review,1088,Delhi
3609,Under Review,4446,Delhi
3610,Declined,4019,Mumbai
3611,Approved,4825,Mumbai
3612,Declined,3144,NYC
3613,Declined,1177,Pune
3614,Approved,2808,NYC
3615,Approved,1242,Mumbai
3616,Under Review,1149,Lucknow
3617,Under Review,3608,Ayodhya
3618,Approved,2279,Pune
3619,Declined,1017,Pune
3620,Under Review,2445,Ayodhya
3621,Approved,3762,Pune
3622,Under Review,4214,Delhi
3623,Under Review,2897,Delhi
3624,Approved,3670,Delhi
3625,Approved,2281,Pune
3626,Declined,3775,Lucknow
3627,Approved,4055,Pune
3628,Approved,1038,Lucknow
3629,Under Review,4867,Delhi
3630,Approved,2461,Ayodhya
3631,Declined,3600,Lucknow
3632,Declined,4413,Pune
3633,Under Review,4287,Mumbai
3634,Under Review,1530,Delhi
3635,Under Review,4751,Mumbai
3636,Declined,1377,Lucknow
3637,Approved,2753,Mumbai
3638,Declined,3102,Lucknow
3639,Approved,1001,Ayodhya
3640,Declined,2841,Lucknow
3641,Under Review,2327,Mumbai
3642,Declined,4995,NYC
3643,Under Review,4147,Pune
3644,Under Review,4612,Delhi
3645,Approved,4542,Lucknow
3646,Approved,3510,Delhi
3647,Under Review,2726,Mumbai
